"source","target","value"
"Masku","Espoo",2
"Masku","Jyväskylä",1
"Masku","Kaarina",1
"Masku","Lappeenranta",1
"Masku","Mustasaari",1
"Masku","Mynämäki",2
"Masku","Nousiainen",3
"Masku","Parainen",1
"Masku","Raisio",3
"Masku","Tampere",2
"Masku","Turku",18
"Masku","Valkeakoski",1
"Hanko","Masku",1
"Kaarina","Masku",5
"Lieto","Masku",1
"Naantali","Masku",1
"Nousiainen","Masku",4
"Parainen","Masku",2
"Porvoo","Masku",1
"Raahe","Masku",2
"Raisio","Masku",10
"Rusko","Masku",3
"Salo","Masku",1
"Tampere","Masku",1
"Turku","Masku",24
