"age","sex","category","population"
0,"Miehet","v1990",44
0,"Miehet","v2010",67
0,"Miehet","v2024",36
1,"Miehet","v1990",41
1,"Miehet","v2010",78
1,"Miehet","v2024",41
2,"Miehet","v1990",46
2,"Miehet","v2010",77
2,"Miehet","v2024",46
3,"Miehet","v1990",43
3,"Miehet","v2010",68
3,"Miehet","v2024",54
4,"Miehet","v1990",49
4,"Miehet","v2010",74
4,"Miehet","v2024",48
5,"Miehet","v1990",38
5,"Miehet","v2010",85
5,"Miehet","v2024",48
6,"Miehet","v1990",57
6,"Miehet","v2010",81
6,"Miehet","v2024",53
7,"Miehet","v1990",51
7,"Miehet","v2010",62
7,"Miehet","v2024",69
8,"Miehet","v1990",63
8,"Miehet","v2010",78
8,"Miehet","v2024",65
9,"Miehet","v1990",63
9,"Miehet","v2010",80
9,"Miehet","v2024",74
10,"Miehet","v1990",50
10,"Miehet","v2010",84
10,"Miehet","v2024",64
11,"Miehet","v1990",50
11,"Miehet","v2010",66
11,"Miehet","v2024",70
12,"Miehet","v1990",50
12,"Miehet","v2010",74
12,"Miehet","v2024",86
13,"Miehet","v1990",65
13,"Miehet","v2010",73
13,"Miehet","v2024",75
14,"Miehet","v1990",54
14,"Miehet","v2010",83
14,"Miehet","v2024",84
15,"Miehet","v1990",50
15,"Miehet","v2010",69
15,"Miehet","v2024",80
16,"Miehet","v1990",43
16,"Miehet","v2010",59
16,"Miehet","v2024",75
17,"Miehet","v1990",48
17,"Miehet","v2010",68
17,"Miehet","v2024",65
18,"Miehet","v1990",45
18,"Miehet","v2010",58
18,"Miehet","v2024",63
19,"Miehet","v1990",59
19,"Miehet","v2010",55
19,"Miehet","v2024",70
20,"Miehet","v1990",33
20,"Miehet","v2010",46
20,"Miehet","v2024",39
21,"Miehet","v1990",45
21,"Miehet","v2010",36
21,"Miehet","v2024",24
22,"Miehet","v1990",37
22,"Miehet","v2010",26
22,"Miehet","v2024",25
23,"Miehet","v1990",49
23,"Miehet","v2010",22
23,"Miehet","v2024",19
24,"Miehet","v1990",33
24,"Miehet","v2010",35
24,"Miehet","v2024",26
25,"Miehet","v1990",38
25,"Miehet","v2010",36
25,"Miehet","v2024",22
26,"Miehet","v1990",50
26,"Miehet","v2010",46
26,"Miehet","v2024",27
